number,value,state,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq
101,0.9330785137632631,COMPLETE,0 days 00:00:00.530691,0.8106466132366583,0.067087346493015,12,44,1400,227,0.0009748167530482193,1.7307727403225875e-05,0.7161456777078441,2
102,0.9283970967892891,COMPLETE,0 days 00:00:01.444133,0.8104726434203906,0.06896441004253728,12,44,1300,225,0.0011923895144212474,2.421620156860463e-05,0.7175186826817238,2
103,0.9098355072880349,PRUNED,0 days 00:00:01.145883,0.720393241989965,0.06238219476588231,12,46,1400,214,0.0009596407318506879,2.83055901889991e-06,0.6863383274676941,2
104,0.9318332366298914,COMPLETE,0 days 00:00:00.723568,0.7560663021762284,0.1338519130449211,11,53,700,245,0.6404002627520499,2.646304741997192e-07,0.7050897614615911,2
105,0.9276602201695776,COMPLETE,0 days 00:00:01.516709,0.7586096298487317,0.14263253997815362,12,53,1500,244,0.6994612328575576,7.330127448451018e-07,0.7096038958860303,2
106,0.9226124069928543,PRUNED,0 days 00:00:00.584634,0.7386871639715106,0.17969858737320485,11,57,1400,235,0.21969636848908083,1.1446224758513072e-05,0.6570923753386285,2
107,0.9340986327212253,COMPLETE,0 days 00:00:04.464966,0.8581114257279799,0.12054511829387474,12,51,700,251,6.576622374983484e-05,2.4964661998870083e-07,0.6803811916110097,2
108,0.91279280741082,PRUNED,0 days 00:00:02.975306,0.8544663528398015,0.13066307858019383,12,54,700,245,0.00022081952253600584,3.207257515569657e-07,0.6816233914698541,2
109,0.9262626597319171,COMPLETE,0 days 00:00:00.923207,0.8865489154497385,0.10678283987384883,11,51,800,255,0.0006386462831965844,2.1298604249649606e-07,0.7038707304740679,2
110,0.9258838745987304,PRUNED,0 days 00:00:00.618634,0.8644404098488344,0.03886959717460429,11,59,700,228,9.811808561821967e-06,7.267838703021401e-08,0.6478120898824518,4
111,0.9338286112978463,COMPLETE,0 days 00:00:01.281354,0.8356649735807844,0.11426062484066185,12,48,1400,239,0.00010335360445685547,5.259224882552973e-07,0.7264732827049748,2
112,0.9347781797720893,COMPLETE,0 days 00:00:01.125899,0.8518928084022871,0.1645406514101053,12,48,1400,240,9.092162937601206e-05,5.702245092304547e-07,0.6900644957066085,2
113,0.9290877817182727,COMPLETE,0 days 00:00:01.159566,0.8505554549565986,0.15711426421565328,12,48,1400,241,8.364217042476619e-05,4.023152145133745e-08,0.673953146143424,2
114,0.9275061860077122,COMPLETE,0 days 00:00:01.096820,0.8397164867477978,0.19004554049370273,12,46,1500,251,2.885440463373582e-05,5.323884549355445e-07,0.6946928339182564,2
115,0.9280043713646873,PRUNED,0 days 00:00:01.144378,0.8817847101268405,0.13489506119872746,12,43,1400,239,0.0005304169595951185,2.493975331446111e-07,0.7166327118259102,2
116,0.9229047536189752,COMPLETE,0 days 00:00:01.338350,0.8285975253008615,0.11391934331394757,12,52,1300,235,0.0002814586886427533,1.7883686393850211e-06,0.6323291171883467,2
117,0.9276877039002717,COMPLETE,0 days 00:00:00.559346,0.8665402826883108,0.12036644070801536,11,49,1500,230,6.919415548743676e-05,1.0261740986477188e-06,0.6869512168062684,3
118,0.932043378804765,COMPLETE,0 days 00:00:01.820592,0.9322720171024577,0.1674977407275102,12,55,1400,245,0.0021032290672069226,1.6348248516828887e-07,0.7025153178479989,2
119,0.9128230029336097,PRUNED,0 days 00:00:00.418158,0.9431343337132956,0.1710589293619956,12,56,1400,246,0.010979203871025304,1.0814025576898495e-07,0.6664102828799374,2
120,0.9311579121288629,COMPLETE,0 days 00:00:00.770978,0.9128746355442887,0.15416429640915183,12,54,1400,248,1.5431162745596115e-05,3.6892350440410936e-07,0.6746612201364286,3
121,0.930280866267713,COMPLETE,0 days 00:00:01.062331,0.9720894690909287,0.14610245124204746,12,54,1400,237,3.6375787765563824e-05,3.8499839962588676e-07,0.6747031991387865,3
122,0.9235832246696614,COMPLETE,0 days 00:00:03.154561,0.9047483705117515,0.1942729672892525,12,51,1400,247,1.3239527778214256e-05,2.3447881236636163e-07,0.7030359687514168,3
123,0.9264533727770043,PRUNED,0 days 00:00:01.534535,0.924508928579606,0.1620090465787443,12,62,1500,241,1.592173826832767e-06,5.728081328447793e-07,0.6902418882254947,3
124,0.9244638847890594,PRUNED,0 days 00:00:02.964458,0.9476043968750257,0.12421240292400253,11,60,1400,255,0.00013665011620860924,1.5219241694750682e-07,0.7182443207545203,3
125,0.9335023147967695,COMPLETE,0 days 00:00:03.926187,0.9228089284502636,0.09740219983569194,12,56,1300,225,7.201355906469188e-06,8.276834604180281e-08,0.6808190325651798,2
126,0.9218469608174006,COMPLETE,0 days 00:00:02.189628,0.9602164402314168,0.0996582670319375,12,58,1300,222,5.107115899771121e-06,2.7424748976633145e-08,0.6589910270883845,2
127,0.9301511910247093,COMPLETE,0 days 00:00:07.126726,0.9177811032722458,0.14532670098844544,12,56,1300,230,8.166752708173918e-06,9.407469969720643e-08,0.7052198716370249,2
128,0.9308563897907333,COMPLETE,0 days 00:00:05.279655,0.895423061116049,0.08864927746292868,6,65,1400,249,0.00011513679032127236,1.7511196249866784e-07,0.6796801014035865,2
129,0.9277318170697576,COMPLETE,0 days 00:00:03.127368,0.9341041613872302,0.11271689602190926,12,48,1500,225,1.650788260149599e-06,4.723755889127957e-08,0.6532370422590357,2
130,0.9314901196006174,COMPLETE,0 days 00:00:05.289252,0.9183447389387231,0.17174104294665374,12,53,1400,232,1.6721952998074848e-05,1.354526290968521e-08,0.6673743809040616,2
131,0.9179628441307447,COMPLETE,0 days 00:00:05.284974,0.9000460190687761,0.16128405679583657,12,54,1400,231,2.396115891941483e-05,1.1961958479744918e-08,0.6910499728761216,2
132,0.9342469152200655,COMPLETE,0 days 00:00:00.613591,0.9148135098690688,0.13254528597607593,12,52,1400,243,1.7156294131874164e-05,3.2524029659819794e-07,0.6690182275121621,2
133,0.9281263710745474,COMPLETE,0 days 00:00:01.736330,0.917654578370216,0.12651121163542847,12,51,1400,242,1.2713949493311415e-05,2.1399057824658142e-08,0.6361096955975678,2
134,0.9259397310726243,COMPLETE,0 days 00:00:00.409536,0.9376630518558886,0.1380872910192604,12,53,1300,237,1.9477949318415134e-05,8.11981052097308e-08,0.6669865286276412,2
135,0.9305750873919193,COMPLETE,0 days 00:00:00.385345,0.9251705061171254,0.17527690198508733,11,56,1500,249,3.7296811314862404e-06,3.3856053890253375e-07,0.6732899459388215,2
136,0.9213636699457988,COMPLETE,0 days 00:00:00.633629,0.9635760836299216,0.19436350602781016,12,49,1300,244,5.711912847795822e-05,7.613958045345566e-07,0.6992399937439393,2
137,0.9251029033941965,PRUNED,0 days 00:00:01.359137,0.9498166647865257,0.15504412305580823,11,58,1400,219,3.214764748192679e-06,3.452581535087315e-08,0.7121340065036031,2
138,0.9285239310516143,COMPLETE,0 days 00:00:00.712611,0.9128160220190257,0.1003297997636546,12,52,1500,233,3.838661894817264e-05,4.157314434988769e-07,0.6478236116063147,2
139,0.9261127939963975,COMPLETE,0 days 00:00:01.779607,0.8757321543320441,0.11516294412726133,11,47,1400,225,1.8525630040817864e-05,1.4140214412764567e-07,0.6630367953018754,3
140,0.9250677524803559,PRUNED,0 days 00:00:00.315941,0.8905511625652003,0.13455167551272332,12,60,1400,251,7.381617500263597e-06,6.873723166380636e-08,0.682239279390369,2
141,0.9292012836953546,COMPLETE,0 days 00:00:00.327867,0.9068426677015605,0.08013604838837146,4,45,1300,240,0.002182157048490139,2.506455569905075e-07,0.7261556701608372,2
142,0.9307473203031918,COMPLETE,0 days 00:00:00.386339,0.524822360184855,0.1780913815511557,12,50,1500,235,0.0036539801296808826,1.075672762111699e-06,0.6943006362385945,2
143,0.9292480493145543,PRUNED,0 days 00:00:00.489360,0.9264410441766722,0.14577862508619338,12,54,1400,228,1.3925795877843975e-05,1.6175375891691997e-07,0.7471793618024838,2
144,0.9320613401120759,COMPLETE,0 days 00:00:01.669314,0.8741934322844259,0.09716430607402401,11,47,800,246,8.155737074343672e-05,1.6073637259572925e-08,0.7083806816513761,2
